,firstname,lastname,unversity,department,grad_school,title,highest_degree,Grad_Yr
0,Tianxi, Cai,Havard University,Department of Biostatistics,"Sc.D.,  Harvard University",Professor of Biostatistics,Sc.D.,1999
1,Carlos, Camargo,Havard University,Department of Epidemiology,"DrPH,  Harvard School of Public Health|MD,  UC San Francisco|MPH,  UC Berkeley|BA,  Stanford University",Professor in the Department of Epidemiology,Dr.P.H,1996
2,Mark, Campbell,Havard University,Department of Health Policy and Management,Education Not Found,Adjunct Lecturer on Health Policy and Management,Degree Not Found,0
3,Paul, Campbell,Havard University,Department of Global Health and PopulationDepartment of Health Policy and Management,"D.Sc.,  Harvard School of Public Health",Lecturer on Management,Sc.D.,1987
4,Hannia, Campos,Havard University,Department of Nutrition,Education Not Found,Senior Lecturer on Nutrition,Degree Not Found,0
5,David, Canning,Havard University,Department of Global Health and Population,"Ph.D., Economics, Cambridge University, 1984.|B.A., Economics and Mathematics, Queenôs University Belfast, 1979.|Curriculum Vitae",Richard Saltonstall Professor of Population Sciences and Professor of Economics and International Health,Ph.D.,1984
6,Richard, Cash,Havard University,Department of Global Health and Population,"B.S.,  University of Wisconsin, Madison|M.D.,  New York University School of Medicine|M.P.H.,  Johns Hopkins University",Senior Lecturer on Global Health,Degree Not Found,1973
7,Marcia, Castro,Havard University,Department of Global Health and Population,"PhD, Demography, Princeton University, 2002|MA, Demography, Cedeplar/UFMG, Brazil, 1997|BS, Statistics, UERJ, Brazil",Associate Professor of Demography,Ph.D.,2002
8,Paul, Catalano,Havard University,Department of Biostatistics,"Sc.D.,  Harvard School of Public Health",Senior Lecturer on Biostatistics,Sc.D.,1991
9,Flaminia, Catteruccia,Havard University,Department of Immunology and Infectious Diseases,"Ph.D. in Molecular Entomology,  Imperial College London,Honors and Awards,MRC Career Development Award, 2006|Wellcome Trust Value in People Award, 2006",Associate Professor of Immunology and Infectious Diseases,Ph.D.,2006
10,Jennifer, Cavallari,Havard University,Department of Environmental Health,Education Not Found,Adjunct Assistant Professor of Environmental Health,Degree Not Found,0
11,Kin-Wei, (Arnold) Chan,Havard University,Department of Epidemiology,"Sc.D.,  Harvard School of Public Health|M.P.H.,  Harvard School of Public Health|M.D.,  National Taiwan University",Adjunct Associate Professor of Epidemiology,Sc.D.,1992
