pID	gr
4618374	8
1609906	2
2983758	5
4397894	3
1731317	4
4100063	5
10105	2
2094375	9
2442499	1
30127938	2
1704763	2
60396	2
1940898	1
25055261	3
97794	5
2364389	2
69519	2
3094417	6
2881166	1
2060536	4
154181	6
1609612	2
3373652	2
2258048	1
29524678	2
20466626	10
3953	1
11547	2
123304	2
2109471	3
2786521	6
43075	2
2410149	1
3324934	3
4502364	1
3837473	2
1036262	7
25465813	2
2417664	2
3376063	1
4395894	8
3781370	1
2673987	5
25473370	8
2006682	3
2579255	4
25224258	2
2365320	2
3494530	1
25123397	6
4187740	8
2563894	1
55408	1
3482783	10
3558375	1
3898338	1
1941733	1
3279941	5
31225	2
4126555	3
1369243	1
3132165	3
1549337	1
2786469	4
2436275	1
3581928	5
4255609	1
3893215	1
2337554	5
2677056	5
2668631	3
4045065	1
27521798	6
4124068	1
36548	2
3325719	4
4312070	1
4602323	4
3510239	9
976577	6
2881569	1
1736056	2
3547712	1
447290	9
1351228	1
3884778	2
4315853	1
3700835	3
20020173	4
2680135	1
3682433	1
41011259	8
4215354	1
4115853	1
3100205	6
4096705	1
154934	3
2530602	5
20145117	1
25728182	8
59475	2
41106875	3
2445625	2
30137995	1
4007984	1
3375606	2
2474978	1
40589011	6
2442969	1
3282131	2
3883690	1
1344613	3
2110686	9
3495751	1
4151565	4
25791967	9
30112057	2
40397707	6
1344525	3
2844545	1
26956	2
2588603	1
3150443	6
3837077	1
2393235	6
3536765	1
25451398	1
4540116	1
177203	1
4532853	1
3203249	3
40216713	6
2891866	2
4356074	5
25619956	10
1941218	1
2769337	3
25615633	1
3034764	8
29770451	3
3505635	1
40981190	8
59375	2
2580300	4
40013	2
1130114	4
27646138	1
3808360	1
30141524	2
800510	4
2949035	6
4601020	1
40196038	10
3592589	5
3035594	5
1683458	2
2999493	3
4251746	1
4354233	2
1616774	2
2391494	6
2527535	5
584067	4
1610523	2
1613799	2
3874628	1
1614665	2
485324	8
4488305	1
4215191	1
4534384	1
1501753	10
4314237	1
3598620	9
2484374	1
645483	8
3802767	1
3996941	1
45323	2
41106882	3
25502027	5
4269884	2
2981533	3
122824	2
3892672	1
4164284	1
747821	10
2368537	2
2958200	5
822711	6
3581983	5
4121181	4
1306509	1
25097874	4
1299126	1
2388302	1
30109303	2
25668264	1
4044494	1
3676533	1
1543335	1
2530665	5
4264112	1
3764969	4
1617185	2
2836037	1
1128221	4
25604010	3
3481772	5
2770011	8
4217560	1
41106634	3
3797972	1
2684320	5
177188	1
40800807	1
40063173	4
1619130	2
2699886	5
2786739	4
4479771	3
3244229	1
69527	2
30137889	1
520966	1
2364739	1
2328867	3
40284523	10
30050011	2
2365966	2
2839164	1
2576018	4
3590856	3
25549300	1
2666304	2
2439850	1
3317386	8
136446	3
3896514	1
976525	9
2439479	1
25515533	4
20491081	1
4294924	2
2472784	1
1444989	1
1479004	1
1963627	9
2834245	1
40483282	2
4400289	8
3526735	2
2359751	2
3085883	1
30114857	1
40469667	6
2881927	2
2471380	1
40484573	2
1304687	1
40065468	2
2665701	1
40473393	3
2959557	5
4047028	1
2839056	1
40389242	6
1297960	1
40205493	1
4265017	2
2284703	6
1613859	2
30057070	1
25488560	1
3545804	1
1378299	1
2673612	5
45363	2
3884492	1
20180012	2
4524457	1
1610937	2
20046093	1
27536689	4
3314954	5
3706336	1
3038292	4
2996748	1
1797435	8
3891442	1
4162515	1
2667161	5
3139956	1
2697781	3
3798745	3
27512	2
1305398	1
20182723	2
20076848	2
3838553	1
3139371	2
2398914	1
3481359	7
2347660	5
1370243	1
1392126	5
2461784	1
44451	2
30025426	10
3582524	4
3677109	1
3088134	6
3884672	2
2881062	2
4355583	5
2158231	5
2404302	1
1131960	4
3573025	1
4499027	1
4496889	1
4291908	2
45723	2
40645285	8
1159975	8
2360147	1
3096535	1
1392136	5
40987945	3
2565575	3
2061674	3
3321155	4
2408516	1
3083283	3
4121026	4
4497795	5
582686	4
3764184	4
2265696	1
3069542	6
31457	2
2365115	2
4046752	1
2137297	4
41057989	1
2357901	2
4296630	5
20616942	1
25249412	1
4189223	6
2837333	1
30301253	1
1394010	7
1550194	1
20065193	1
3677015	1
3547389	1
2805458	1
27751390	3
66129	2
25190266	2
1611123	2
4535975	1
4278469	1
1610947	2
20046200	1
3590294	3
4092217	9
2632772	3
1128957	10
254293	6
2330700	3
247902	3
1911755	3
670968	1
3055949	2
4043897	1
3869705	2
9151	2
1165325	10
27731	2
61478	2
55779	2
26925	2
1940436	1
2291477	5
3801486	1
20853203	8
3060958	1
3315004	1
3565922	1
4130939	2
1468076	1
3003668	7
40704371	10
1400333	8
1692340	2
40589183	6
25052566	5
252990	3
2656744	1
25743620	10
1695052	2
2408785	1
3495874	1
2288129	5
41062259	3
2364712	2
2362677	2
4044226	1
20013232	3
2432503	1
27716247	7
4620125	1
1306481	1
2628674	3
20053884	3
1251583	6
3599067	1
4124089	1
1031746	4
3682150	1
40065250	2
3888845	5
3653563	3
3676414	1
41809	2
1549332	1
2463190	1
30086617	2
3683190	1
2884177	1
3505467	1
4292897	2
4274490	2
1435438	10
1608443	2
2883521	1
41242824	1
3074533	8
25592086	4
3427303	4
2291272	5
40836143	6
2938225	3
2443913	2
1035116	9
3671530	1
25547919	1
25049758	5
40216597	6
20159797	6
3033859	4
1298748	1
4523731	1
3812508	4
3076761	2
1123617	3
40987986	3
174591	3
2388507	1
3883821	1
1157996	8
25645454	1
2400204	1
2361225	2
20054777	2
2261631	1
4221233	1
3767618	5
40802052	1
25151385	3
3083010	1
2801939	8
3317106	8
20443284	1
4143397	2
1391929	3
25224317	2
41151516	6
25053448	5
2431890	2
25046344	3
20831796	6
353604	4
2631411	5
24614	2
2771396	4
1340952	3
30021659	8
3380883	6
3687478	1
20171949	1
4380345	3
1267454	5
3226886	1
63596	2
3440962	3
3485891	3
3599464	1
2670535	1
61614	2
2412344	1
3439338	3
1607811	2
40216034	3
4002751	1
2446630	1
4216309	1
3676797	1
2837711	1
3883004	2
2899642	2
25463172	1
1268035	5
30225704	3
27822130	2
2962296	3
2780089	4
3057084	2
4189106	6
25049017	6
59712	2
40387398	8
3869052	2
1609453	2
2683377	5
2879440	2
2641395	1
30024332	3
3867778	6
2240677	5
4092092	1
67296	2
40890788	8
2535431	3
3502775	3
25249826	1
2368870	2
3350077	3
2438645	1
2882932	2
2269405	1
55556	1
3432325	2
2670711	1
3857214	6
20150916	10
3070909	1
40752701	7
20491077	1
40660091	10
1269105	5
3548757	1
1305344	1
4088151	1
2082609	9
40210401	4
3696324	4
2153374	5
3148384	2
2109933	3
352194	4
2426052	1
3211710	3
4616674	5
1684362	1
3697847	3
25449846	1
65524	2
38856	2
121545	2
20831598	4
4142274	2
40344618	10
1344662	3
1911159	3
3144120	2
2677009	5
2244432	5
3375782	2
28259	2
1132027	4
4269867	5
1710500	2
40658289	6
4534443	1
2393678	6
4105651	6
3839068	3
27752495	6
2601004	3
2430242	1
2533688	5
2760119	8
3079193	1
3391860	1
2360906	2
2836802	1
40484604	1
1911923	3
31394	2
27696419	1
3074127	1
41106206	3
4219887	1
23011826	8
25167677	3
40539157	5
4363469	3
3548332	1
56035	1
4189307	6
2097304	1
3320454	4
2805589	1
40865199	3
1266591	5
2559937	1
40229498	3
2004724	2
3767370	4
3149483	6
3812772	4
2112194	4
201938	4
25050496	5
25115497	8
30046974	5
25078442	1
3996977	1
20443408	1
1609134	2
3371780	2
1304711	1
2239773	5
60260	2
3227148	1
122694	2
31507	2
1484102	1
3669588	1
1911390	3
25050201	5
1442172	1
40230906	4
2391722	6
1445923	1
24132	2
2260353	1
4622022	3
2635122	6
3695668	5
30076911	2
2545770	4
1304579	1
3376617	2
4223639	1
25153420	1
2459541	1
4292521	2
25148352	1
2836712	1
4142701	1
67288	2
30146444	2
1448517	1
4101754	3
1703689	2
3236650	1
3448927	1
4599270	1
4251370	1
3003001	7
2839155	1
3450993	1
20107809	1
3495626	1
2746363	9
525069	8
2897193	2
3990010	3
2630484	6
2419243	1
1999427	5
20063258	10
1128536	4
1403638	5
3989590	1
20616769	1
4354963	4
26519	2
1693921	2
3668729	1
2410590	2
1349412	3
1548254	1
3070957	1
1247238	6
2291538	5
3010012	3
4126526	1
4513502	1
4312824	1
14419	2
40483091	2
1251274	6
40665170	1
1300916	1
3809254	1
46568	2
2387131	1
20143185	1
590548	4
40482039	2
2356631	2
4222956	1
42480	2
3212694	5
1128616	4
20170407	2
3669724	1
4309399	4
25614659	6
1941985	1
976831	7
40983080	4
4269700	1
10901	2
1621216	2
25461797	2
25662908	1
1707210	1
20519864	1
1305757	1
69487	2
2442368	1
1746432	5
35959	2
4140823	8
3857286	7
3084262	2
4601188	1
4297782	1
2347449	5
4279586	2
4032753	1
3096608	1
2706924	3
40980895	1
4090519	1
3428212	1
1621865	2
3533298	5
2640578	1
2335617	5
25831106	2
3340234	4
4539938	1
4152013	2
4218064	1
32855	2
172141	3
3227018	2
2985855	5
4281682	2
20065022	2
2367011	2
20832204	4
2429950	1
20406233	1
4493005	4
1564425	1
3798938	1
2094232	9
1243938	10
4275625	2
3236033	1
2684973	5
3882808	1
2458561	1
1351054	1
4533431	1
4406131	8
1708039	1
2648463	1
25426132	2
29770168	3
3843782	2
2461479	1
2565788	3
1612357	2
3502595	3
4272660	2
1305338	1
40186767	10
40662622	1
66527	2
62959	2
2327526	3
3711153	9
2805579	1
1726445	1
3899889	1
258233	6
3054803	2
30158599	1
1565175	1
4219791	1
3566411	1
349302	4
25450904	1
2458671	1
1298883	1
2245276	3
1400500	1
1914041	3
40483325	2
3147528	2
40327298	10
3541131	8
3870280	2
2774809	6
4620697	4
2487261	3
3547779	1
3809501	1
20780561	2
40205284	4
3247	1
40552865	8
3869674	2
4132682	3
40650955	3
30117593	2
3548423	1
20142637	8
4414051	4
25072911	6
1448610	1
440158	9
40660766	1
4313751	1
3315483	5
4152410	2
40065295	2
28214	2
3871154	2
30075930	2
32703	2
2775976	4
4271710	1
22687	2
1711109	1
3214241	5
1305277	1
13940	2
25704524	4
48746	2
2529624	5
4094557	1
121406	2
3581128	2
585559	4
20723322	6
2416608	1
30000359	4
4002597	1
1985	1
4540250	1
3884205	1
25249798	1
40665814	3
2669945	5
25003	2
25043103	5
69553	2
20831788	6
4216792	1
4086279	1
1130288	4
3694841	3
725701	9
1611683	2
40752721	3
3511568	4
2648455	1
3558411	1
2535413	3
25249543	1
3802195	1
2386474	1
3078176	2
3566749	1
2430282	1
3211626	3
2353670	2
1552314	1
4496160	1
2951389	3
2937268	1
3802277	1
40210637	1
48839	2
30164012	3
2835668	1
2600786	9
3148252	2
27521730	4
1033353	3
2425787	1
3672767	1
61275	2
67577	2
40339020	3
4223412	1
4121813	3
40607104	10
4188660	6
3061452	1
4602220	1
974667	6
3803682	1
3706063	1
4480344	3
1521589	1
31080	2
3495130	1
3569854	3
3371796	2
83256	2
3090175	4
40485393	2
1468714	1
2554490	3
3447335	4
2661150	8
2531738	5
1392241	3
1620399	2
3482513	10
4194044	4
3214873	5
25058209	6
4033026	1
2837791	1
2948698	4
40214533	6
20424862	1
20183361	1
25465751	2
40390714	1
3882139	1
2172528	4
1688068	2
4601667	1
40483618	1
1305184	1
20077204	2
8648	2
2599941	3
1617651	2
40227585	3
33804	2
3843311	2
4277462	2
2443173	1
2366598	2
3244885	1
3172572	6
3682607	1
2388104	1
59802	2
3858492	1
2684568	5
3872350	2
31985	2
2527162	3
640664	8
25470639	5
40483623	2
2881524	2
25463265	2
585140	4
40877488	8
3580382	2
3094345	6
3076765	2
3000295	4
30107416	2
30219596	3
40482808	2
252845	3
46003	2
1555798	1
4115725	1
252765	3
4640415	5
1240930	3
3315882	5
2997902	1
20424880	1
4009137	1
40058357	1
2665821	1
40254757	1
350802	4
1378125	1
40212193	10
4122699	1
2403757	1
3649564	6
3801517	1
1616082	2
3875248	6
2135943	4
41108129	9
3544648	1
3629576	8
20181793	1
2122234	1
586145	9
179973	8
3858659	1
1616998	2
40784797	3
40216632	5
25436070	2
3862733	2
4536307	1
4238	1
1618602	2
2457069	1
25063249	1
2367285	2
4264362	2
1236872	3
3821296	8
3583208	4
1222592	1
4463794	2
1615626	2
2357488	2
4217718	1
3871828	2
20853695	4
2363656	2
4217192	1
1571665	1
1422408	5
14011	2
2770650	6
2890773	2
2685105	5
9466	2
2640724	1
3435349	2
1304962	1
2110832	9
1565803	1
4535419	1
2109110	9
4110372	1
40343388	1
20870089	3
136499	3
4313435	1
2241427	5
20487797	1
2431517	1
55651	2
2408869	1
40483153	2
4264446	2
5126	1
3501433	3
29784277	2
2239589	5
4393410	8
3391901	1
20051210	1
30045398	1
30024448	9
40316131	8
3318446	5
2646832	3
25569303	4
271067	5
25056073	3
3798295	1
20157328	10
3073579	2
1382354	1
2238404	5
20460752	6
3897125	2
4478399	3
1383958	1
2656199	1
1700768	2
3148785	2
3215179	5
1699129	1
20063740	1
27768268	6
256954	6
4599450	1
4478963	3
30060799	1
1305340	1
3444146	10
1269339	5
2574295	4
2960026	4
1485238	1
3672277	1
1740027	1
2446591	1
1369218	1
3373761	2
4603117	1
2334362	5
1266205	5
2740725	5
20110325	3
3832656	1
2348937	5
4531872	4
1248409	7
40962516	5
2473763	2
1469665	1
1807804	3
40863174	8
2646780	5
1510677	10
2663628	3
2677900	3
30050099	2
3066666	2
4355362	10
1610488	2
2695955	3
4096778	1
1879430	3
2359385	2
50132	1
2632344	3
31373	1
1480264	6
4603400	8
3058918	2
2394943	1
20491071	1
2363082	2
1252256	6
3144000	2
40229851	4
2530874	5
2444094	1
3558798	1
3663946	3
25123766	3
4219381	1
43519	2
2242667	5
1935342	1
25084970	5
1221105	1
4117059	1
1447700	1
1611115	2
2424991	1
40962399	1
2523989	3
64429	2
3569830	3
1934697	1
2109539	3
1368849	1
2130924	7
1734112	2
3447136	6
61639	5
20059830	2
3837367	1
202049	4
2000217	5
3699443	10
2404877	1
4092079	1
1129188	4
3989996	3
3809656	1
1716102	2
2523172	6
671529	6
1469904	1
4492853	3
3501093	3
1700039	2
1494313	10
40058649	2
3059136	2
40441834	2
2404036	1
2135263	4
20700427	1
3088884	6
1608686	2
26359	2
27537076	4
40981078	4
1606547	2
4222520	1
63170	2
3869737	2
20063825	1
4540895	6
40388697	3
29242	2
40043142	3
223040	6
2445714	1
1934938	1
3132147	3
4092332	9
20144257	1
4523692	1
54530	2
20144987	2
2435813	1
20004341	8
1534313	5
586351	7
1619557	2
2416209	5
25449094	2
2441802	1
29486	2
4601584	1
2358840	2
40081	2
2174028	4
2647824	9
1353793	1
4118782	1
1936063	1
4600032	1
3146444	3
40346312	1
2680635	5
63238	2
189764	4
25605002	8
3058985	2
40466039	8
1691121	2
1426745	5
3055446	2
76871	2
40590116	8
2281913	5
3512386	4
1377770	1
2367072	2
40338911	4
2951106	4
3546118	1
35605	1
5997	1
3547449	1
23011570	8
25055898	3
2985107	5
45631	2
2355852	2
4123870	1
3514491	1
2401634	1
1934820	1
1390699	5
40439595	3
1610972	2
3319200	9
41058171	1
2938258	3
4152830	3
4217116	1
2239725	5
2336612	3
40660241	6
3566820	10
1303135	1
30219961	10
30075835	1
1542810	1
27698272	3
25830855	3
439747	9
247760	3
3839101	3
1608931	2
2243226	5
30115061	2
3318445	5
1745159	2
2396122	1
1614321	2
179900	8
30244566	1
3078472	3
2240647	3
49336	5
40228960	3
3072247	1
3837622	2
20142247	6
586099	9
4298014	1
25145179	1
29737696	6
40965668	6
62588	2
3431173	2
2558078	1
2291676	5
2937943	3
3677476	1
2355616	2
177245	1
3181342	9
2959019	5
4274673	2
270971	5
4093115	3
2555661	3
1611427	2
1521212	1
4273830	2
29772134	2
40605358	6
2984801	3
3761063	2
41148203	1
30050740	2
1618019	2
25086096	1
3083928	1
1622138	2
40197363	6
20183430	3
2764718	4
1688454	4
3802711	1
2356350	2
25074077	3
4220708	1
30164290	1
41219398	10
1401252	5
2257525	1
1830547	3
2485244	1
3214412	5
25450271	2
2458510	1
40605741	6
56767	1
2656938	1
591849	6
3658120	2
